Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D26,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,166.666658,-120,180,top
D27,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.999991,-120,180,top
D28,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,185.333324,-120,180,top
D29,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,194.666657,-120,180,top
D30,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.99999,-120,180,top
D31,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,213.333323,-120,180,top
D32,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,222.666656,-120,180,top
D33,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,231.999989,-120,180,top
D34,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,241.333322,-120,180,top
D35,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,250.666655,-120,180,top
D36,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,259.999988,-120,180,top
D37,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,269.333321,-120,180,top
D38,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,278.666654,-120,180,top
D39,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,287.999987,-120,180,top
D40,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,297.33332,-120,180,top
D41,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,306.666653,-120,180,top
D42,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,315.999986,-120,180,top
D43,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,325.333319,-120,180,top
D44,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,334.666652,-120,180,top
D45,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,343.999985,-120,180,top
D46,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,353.333318,-120,180,top
D47,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,362.666667,-120,180,top
D48,D_Schottky,D_SMA,140.335,-10.89,90,top
D49,D_Schottky,D_SMA,124.46,-10.89,90,top
R1,10k,R_0603_1608Metric,-17.78,-136.08,270,top
R2,10k,R_0603_1608Metric,317.5,-136.08,270,top
R3,10k,R_0603_1608Metric,205.74,-136.08,270,top
R4,10k,R_0603_1608Metric,93.98,-136.08,270,top
R5,5.1k,R_0603_1608Metric,150.34,-15,0,top
R6,5.1k,R_0603_1608Metric,150.34,-17,0,top
U2,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,-12.7,-133.35,0,top
U3,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,322.58,-133.35,0,top
U4,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,210.82,-133.35,0,top
U5,74HC4051D,SOIC-16_3.9x9.9mm_P1.27mm,99.06,-133.35,0,top
